start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
470.899,471.607,5,3,"[(0.96, 10), (0.94, 0), (1.04, 10), (1.04, 10)]",True,img9,img6
474.665,475.433,1,3,"[(0.97, 10), (1.04, 10), (0.91, 5), (1.05, 10)]",True,img4,img10
476.011,476.659,5,3,"[(1.0, -5), (1.02, 0), (0.95, 0), (0.91, -5)]",True,img3,img1
477.225,478.025,4,0,"[(0.97, 0), (1.01, -10), (1.05, -10), (1.0, -10)]",True,img5,img8
478.605,479.29,5,2,"[(1.07, 0), (1.03, 10), (0.91, 5), (1.04, -10)]",False,img10,img3
480.848,481.641,1,1,"[(1.09, -5), (0.93, -10), (1.1, 10), (1.04, -5)]",False,img7,img8
483.215,484.018,4,2,"[(1.06, 5), (1.0, 0), (1.06, 10), (0.91, -5)]",False,img1,img8
485.592,486.642,4,3,"[(1.03, 5), (1.04, -5), (1.04, -5), (0.94, 0)]",False,img9,img6
488.215,488.807,5,1,"[(0.96, 5), (0.91, 10), (0.94, 0), (1.03, -5)]",True,img2,img1
490.908,491.617,2,0,"[(0.99, 10), (1.01, -10), (0.95, 0), (1.07, 5)]",True,img6,img10
